,state,puma,emp,emp_alum,emp_steel,emp_tariff,emp_steel_cty_emp_sh,emp_alum_cty_emp_sh,emp_tariff_cty_emp_sh,puma_name,state_abbrev,GEOID10
0,1,100,76452.0,579.0,509.0,1088.0,0.6657772196934024,0.7573379375294302,1.4231151572228327,"""Lauderdale, Colbert, Franklin & Marion (Northeast) Counties""",AL,0100100
1,1,200,85697.0,58.0,430.0,488.0,0.501767856517731,0.06768031553029862,0.5694481720480297,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),AL,0100200
2,1,301,62510.0,105.0,103.0,208.0,0.1647736362182051,0.167973124300112,0.3327467605183171,Huntsville (North) & Madison (East) Cities,AL,0100301
3,1,302,45721.0,43.0,29.0,72.0,0.06342818398547713,0.09404868659915575,0.1574768705846329,Huntsville City (Central & South),AL,0100302
4,1,400,48213.0,41.0,381.0,422.0,0.7902432953767656,0.08503930475183041,0.875282600128596,DeKalb & Jackson Counties,AL,0100400
5,1,500,50700.0,2.0,89.0,91.0,0.1755424063116371,0.0039447731755424065,0.1794871794871795,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),AL,0100500
6,1,600,63016.0,66.0,877.0,943.0,1.3917100418941222,0.10473530531928399,1.496445347213406,Morgan & Lawrence Counties--Decatur City,AL,0100600
7,1,700,41851.0,25.0,267.0,292.0,0.6379775871544288,0.059735729134309815,0.6977133162887387,Cullman & Winston Counties,AL,0100700
8,1,800,59464.0,3.0,565.0,568.0,0.9501547154580923,0.005045069285618189,0.9551997847437105,St. Clair & Blount Counties,AL,0100800
9,1,900,41031.0,53.0,177.0,230.0,0.4313811508371719,0.12917062708683677,0.5605517779240087,Etowah County,AL,0100900
10,1,1000,61321.0,163.0,255.0,418.0,0.415844490468192,0.2658143213580992,0.6816588118262912,"""Talladega, Cherokee, Randolph, Cleburne & Clay Counties""",AL,0101000
11,1,1100,47817.0,43.0,235.0,278.0,0.49145701319614365,0.08992617688269862,0.5813831900788422,Calhoun County,AL,0101100
12,1,1200,102428.0,0.0,597.0,597.0,0.5828484398797203,0.0,0.5828484398797203,Shelby County,AL,0101200
13,1,1301,37650.0,0.0,242.0,242.0,0.6427622841965471,0.0,0.6427622841965471,Birmingham City (West),AL,0101301
14,1,1302,45967.0,49.0,224.0,273.0,0.4873061109056497,0.10659821176061088,0.5939043226662606,Birmingham City (East),AL,0101302
15,1,1303,89066.0,0.0,347.0,347.0,0.38959872454135136,0.0,0.38959872454135136,"""Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities""",AL,0101303
16,1,1304,81801.0,0.0,1150.0,1150.0,1.405850784220242,0.0,1.405850784220242,"""Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities""",AL,0101304
17,1,1305,47202.0,61.0,897.0,958.0,1.9003432057963645,0.12923181221134697,2.0295750180077117,"""Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities""",AL,0101305
18,1,1400,44802.0,0.0,503.0,503.0,1.1227177358153655,0.0,1.1227177358153655,"""Walker, Marion (South & West), Fayette & Lamar Counties""",AL,0101400
19,1,1500,47552.0,22.0,546.0,568.0,1.1482166890982504,0.04626514131897712,1.1944818304172276,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),AL,0101500
20,1,1600,48901.0,89.0,307.0,396.0,0.627799022514877,0.18200036809063208,0.8097993906055091,Tuscaloosa & Northport (Southeast) Cities,AL,0101600
21,1,1700,42306.0,0.0,151.0,151.0,0.3569233678438047,0.0,0.3569233678438047,"""Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties""",AL,0101700
22,1,1800,50438.0,44.0,74.0,118.0,0.14671477853998968,0.0872358142670209,0.23395059280701058,"""Chilton, Tallapoosa, Chambers & Coosa Counties""",AL,0101800
23,1,1900,72189.0,28.0,10.0,38.0,0.01385252600811758,0.038787072822729224,0.052639598830846804,Lee County--Auburn City,AL,0101900
24,1,2000,87744.0,58.0,211.0,269.0,0.24047228300510576,0.06610138584974472,0.3065736688548505,Montgomery City & Pike Road Town (North),AL,0102000
25,1,2100,76657.0,28.0,202.0,230.0,0.2635114862308726,0.036526344626061545,0.30003783085693414,"""Elmore, Autauga, Montgomery (Outer) & Lowndes Counties""",AL,0102100
26,1,2200,44228.0,0.0,374.0,374.0,0.8456181604413494,0.0,0.8456181604413494,Southwest Alabama,AL,0102200
27,1,2300,50292.0,15.0,134.0,149.0,0.2664439672313688,0.02982581722739203,0.29626978445876084,"""Coffee, Covington, Butler & Crenshaw Counties""",AL,0102300
28,1,2400,58713.0,10.0,159.0,169.0,0.27080884982882836,0.017032003133888578,0.28784085296271694,"""Russell, Pike, Barbour, Macon & Bullock Counties""",AL,0102400
29,1,2500,82239.0,19.0,347.0,366.0,0.4219409282700422,0.023103393766947554,0.44504432203698974,"""Houston, Dale, Geneva & Henry Counties--Dothan City""",AL,0102500
30,1,2600,88478.0,8.0,588.0,596.0,0.6645719839960216,0.009041795700626144,0.6736137796966477,Baldwin County,AL,0102600
31,1,2701,38786.0,14.0,462.0,476.0,1.191151446398185,0.03609549837570257,1.2272469447738874,Mobile City (East),AL,0102701
32,1,2702,47959.0,0.0,763.0,763.0,1.5909422631831356,0.0,1.5909422631831356,Mobile City (West),AL,0102702
33,1,2703,83950.0,0.0,1323.0,1323.0,1.5759380583680762,0.0,1.5759380583680762,"""Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City""",AL,0102703
34,2,101,69648.0,0.0,0.0,0.0,0.0,0.0,0.0,Anchorage Municipality (North),AK,0200101
35,2,102,90801.0,0.0,52.0,52.0,0.05726809176110395,0.0,0.05726809176110395,Anchorage Municipality (South),AK,0200102
